ext|class_fraction|type_fraction
doc|8/40|2/25
docx|8/40|4/25
odt|8/40|4/25
xls|8/40|1/25
xlsx|8/40|2/25
ods|8/40|2/25
ppt|8/40|2/25
pptx|8/40|4/25
odp|8/40|4/25
jpg|15/40|5/10
png|15/40|2/10
pdf|15/40|3/10
m4a|8/40|1/25
mp3|8/40|3/25
wav|8/40|1/25
mp4|8/40|15/25
mts|8/40|5/25
zip|8/40|7/8
rar|8/40|1/8
txt|1/40|1/8
md|1/40|1/8
tex|1/40|1/8
html|1/40|1/8
csv|1/40|3/8
xml|1/40|1/8
